sample_name	altitude_m	anonymized_name	area_sampled	collection_timestamp	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	name_location	other_sampling_notes	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	substrate_sampled	title
662.M40	0.0	M40	tidepool	2009-08-24	GAZ:United States of America	0	0	biofilm brushed from rock M40	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M40	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool17	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	rock	Intertidal microbes 16s for 2009 and 2050
662.M41	0.0	M41	tidepool	2009-08-24	GAZ:United States of America	0	0	biofilm brushed from rock M41	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M41	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool18	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	rock	Intertidal microbes 16s for 2009 and 2051
662.M42	0.0	M42	tidepool	2009-08-24	GAZ:United States of America	0	0	biofilm brushed from rock M42	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M42	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool22	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	rock	Intertidal microbes 16s for 2009 and 2052
662.M43	0.0	M43	tidepool	2009-08-24	GAZ:United States of America	0	0	biofilm brushed from rock M43	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M43	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool23	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	rock	Intertidal microbes 16s for 2009 and 2053
662.M44	0.0	M44	tidepool	2009-08-24	GAZ:United States of America	0	0	biofilm brushed from rock M44	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M44	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool35	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	rock	Intertidal microbes 16s for 2009 and 2054
662.M5a	0.0	M5a	rocky intertidal	2009-08-06	GAZ:United States of America	0	0	biofilm brushed from crucible lid M5a	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M5a	Not applicable	Not applicable	48.38	48.38	-124.73	-124.73	Tatoosh, Main Beach	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	glass crucible lid	Intertidal microbes 16s for 2009 and 2014
662.M5b	0.0	M5b	rocky intertidal	2009-08-06	GAZ:United States of America	0	0	biofilm brushed from crucible lid M5b	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M5b	Not applicable	Not applicable	48.38	48.38	-124.73	-124.73	Tatoosh, Main Beach	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	glass crucible lid	Intertidal microbes 16s for 2009 and 2015
662.M6	0.0	M6	tidepool	2009-08-06	GAZ:United States of America	0	0	biofilm brushed from crucible lid M6	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M6	Not applicable	Not applicable	48.38	48.38	-124.73	-124.73	Tatoosh, Main Beach	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	glass crucible lid	Intertidal microbes 16s for 2009 and 2016
662.M7	0.0	M7	tidepool	2009-08-06	GAZ:United States of America	0	0	biofilm brushed from crucible lid M7	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M7	Not applicable	Not applicable	48.38	48.38	-124.73	-124.73	Tatoosh, Main Beach	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	glass crucible lid	Intertidal microbes 16s for 2009 and 2017
662.M8	0.0	M8	tidepool	2009-08-06	GAZ:United States of America	0	0	biofilm brushed from rock M8	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M8	Not applicable	Not applicable	48.38	48.38	-124.73	-124.73	Tatoosh, Finger	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	rock	Intertidal microbes 16s for 2009 and 2018
662.M9	0.0	M9	tidepool	2009-08-06	GAZ:United States of America	0	0	biofilm brushed from rock M9	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M9	Not applicable	Not applicable	48.38	48.38	-124.73	-124.73	Tatoosh, Main Beach	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	rock	Intertidal microbes 16s for 2009 and 2019
