sample_name	alga	altitude	altitude_m	anonymized_name	collection_timestamp	coral_species	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	geo_loc_name	host_common_name	host_subject_id	host_taxid	island	latitude	latitude_deg	longitude	longitude_deg	perturbation	physical_location_2	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	replicate	sample_scientific_name	sample_taxid	sample_type	scientific_name	site	title	zone
910.CuracaoTurf5C	Turf	0	0.0	CuracaoTurf5C	2011-10-04	Montastraea annularis	GAZ:Curacao Island	10	10	Algal tissue	True	0	0	True	EMP sample	Host-associated	Plant	Plant corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	brown algae	CuracaoTurf5C	2870	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Plant	Plant corpus	910	5	coral metagenome	496922	Algal	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	C
910.CuracaoTurf6B	Turf	0	0.0	CuracaoTurf6B	2011-10-06	Montastraea annularis	GAZ:Curacao Island	10	10	Coral-algal interface tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoTurf6B	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	Algae removed	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	6	coral metagenome	496922	Coral-algal interface	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	B
910.CuracaoTurf7B	Turf	0	0.0	CuracaoTurf7B	2011-10-06	Montastraea annularis	GAZ:Curacao Island	10	10	Coral-algal interface tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoTurf7B	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	Algae removed	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	7	coral metagenome	496922	Coral-algal interface	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	B
910.CuracaoTurf8B	Turf	0	0.0	CuracaoTurf8B	2011-10-06	Montastraea annularis	GAZ:Curacao Island	10	10	Coral-algal interface tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoTurf8B	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	Algae removed	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	8	coral metagenome	496922	Coral-algal interface	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	B
910.PocLT1		0	0.0	PocLT1	2011-07-19	Pocillopora verrucosa	GAZ:French Polynesia	5	5	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	Not applicable	PocLT1	203993	Moorea	17.47185	17.47185	-149.84559	-149.84559	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	1	coral metagenome	496922	Coral	coral metagenome	LTER 1	Viral communities associated with algal/coral interactions	
910.PocLT2		0	0.0	PocLT2	2011-07-19	Pocillopora verrucosa	GAZ:French Polynesia	5	5	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	Not applicable	PocLT2	203993	Moorea	17.47185	17.47185	-149.84559	-149.84559	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	2	coral metagenome	496922	Coral	coral metagenome	LTER 1	Viral communities associated with algal/coral interactions	
910.PocTA1		0	0.0	PocTA1	2011-07-20	Pocillopora verrucosa	GAZ:French Polynesia	2	2	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	Not applicable	PocTA1	203993	Moorea	17.29587	17.29587	-149.452746	-149.452746	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	1	coral metagenome	496922	Coral	coral metagenome	Tamae	Viral communities associated with algal/coral interactions	
910.PocTA2		0	0.0	PocTA2	2011-07-20	Pocillopora verrucosa	GAZ:French Polynesia	2	2	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	Not applicable	PocTA2	203993	Moorea	17.29587	17.29587	-149.452746	-149.452746	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	2	coral metagenome	496922	Coral	coral metagenome	Tamae	Viral communities associated with algal/coral interactions	
910.PocTA3		0	0.0	PocTA3	2011-07-20	Pocillopora verrucosa	GAZ:French Polynesia	2	2	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	Not applicable	PocTA3	203993	Moorea	17.29587	17.29587	-149.452746	-149.452746	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	3	coral metagenome	496922	Coral	coral metagenome	Tamae	Viral communities associated with algal/coral interactions	
910.PorLT1		0	0.0	PorLT1	2011-07-19	Porites rus	GAZ:French Polynesia	5	5	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	Not applicable	PorLT1	46719	Moorea	17.47185	17.47185	-149.84559	-149.84559	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	1	coral metagenome	496922	Coral	coral metagenome	LTER 1	Viral communities associated with algal/coral interactions	
910.PorLT2		0	0.0	PorLT2	2011-07-19	Porites rus	GAZ:French Polynesia	5	5	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	Not applicable	PorLT2	46719	Moorea	17.47185	17.47185	-149.84559	-149.84559	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	2	coral metagenome	496922	Coral	coral metagenome	LTER 1	Viral communities associated with algal/coral interactions	
910.PorLT3		0	0.0	PorLT3	2011-07-19	Porites rus	GAZ:French Polynesia	5	5	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	Not applicable	PorLT3	46719	Moorea	17.47185	17.47185	-149.84559	-149.84559	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	3	coral metagenome	496922	Coral	coral metagenome	LTER 1	Viral communities associated with algal/coral interactions	
910.PorTA1		0	0.0	PorTA1	2011-07-20	Porites rus	GAZ:French Polynesia	2	2	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	Not applicable	PorTA1	46719	Moorea	17.29587	17.29587	-149.452746	-149.452746	None	SDSU	ANL	True	True				910	1	coral metagenome	496922	Coral	coral metagenome	Tamae	Viral communities associated with algal/coral interactions	
910.PorTA2		0	0.0	PorTA2	2011-07-20	Porites rus	GAZ:French Polynesia	2	2	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	Not applicable	PorTA2	46719	Moorea	17.29587	17.29587	-149.452746	-149.452746	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	2	coral metagenome	496922	Coral	coral metagenome	Tamae	Viral communities associated with algal/coral interactions	
910.PorTA3		0	0.0	PorTA3	2011-07-20	Porites rus	GAZ:French Polynesia	2	2	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	Not applicable	PorTA3	46719	Moorea	17.29587	17.29587	-149.452746	-149.452746	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	3	coral metagenome	496922	Coral	coral metagenome	Tamae	Viral communities associated with algal/coral interactions	
