sample_name	altitude	altitude_m	anonymized_name	bird_family	bird_order	body_habitat	body_product	body_site	collection_timestamp	country	depth	depth_m	description	diet	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	habitat	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	life_stage	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	title
1773.Columb.passer5.ugi	0	0.0	COP136	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2009-03-02	GAZ:Venezuela	0	0	Upper intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp5	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer6.crop	0	0.0	COP138	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:crop	2009-03-05	GAZ:Venezuela	0	0	Crop Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp6	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Crop	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer6.gizz	0	0.0	COP139	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2009-03-05	GAZ:Venezuela	0	0	Gizzard Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp6	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer6.lgi	0	0.0	COP141	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2009-03-05	GAZ:Venezuela	0	0	Lower intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal distal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp6	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal distal gut	1773	gut metagenome	749906	Lower intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer6.ugi	0	0.0	COP140	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2009-03-05	GAZ:Venezuela	0	0	Upper intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp6	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer7.crop	0	0.0	COP146	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:crop	2009-11-02	GAZ:Venezuela	0	0	Crop Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp7	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Crop	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer7.gizz	0	0.0	COP147	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2009-11-02	GAZ:Venezuela	0	0	Gizzard Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp7	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer7.lgi	0	0.0	COP149	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2009-11-02	GAZ:Venezuela	0	0	Lower intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal distal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp7	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal distal gut	1773	gut metagenome	749906	Lower intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer7.ugi	0	0.0	COP148	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2009-11-02	GAZ:Venezuela	0	0	Upper intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp7	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer8.crop	0	0.0	COP153	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:crop	2008-07-24	GAZ:Venezuela	0	0	Crop Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp8	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Crop	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer8.gizz	0	0.0	COP154	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2008-07-24	GAZ:Venezuela	0	0	Gizzard Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp8	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer8.lgi	0	0.0	COP156	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2008-07-24	GAZ:Venezuela	0	0	Lower intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal distal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp8	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal distal gut	1773	gut metagenome	749906	Lower intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer8.ugi	0	0.0	COP155	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2008-07-24	GAZ:Venezuela	0	0	Upper intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp8	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer9	0	0.0	COP157	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:crop	2009-08-05	GAZ:Venezuela	0	0	Crop Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp9	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Crop	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer9.gizz	0	0.0	COP158	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2009-08-05	GAZ:Venezuela	0	0	Gizzard Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp9	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer9.lgi	0	0.0	COP160	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2009-08-05	GAZ:Venezuela	0	0	Lower intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal distal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp9	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal distal gut	1773	gut metagenome	749906	Lower intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer9.ugi	0	0.0	COP159	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2009-08-05	GAZ:Venezuela	0	0	Upper intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp9	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.talpa1.crop	0	0.0	COP43	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:crop	2008-02-04	GAZ:Venezuela	0	0	Crop Columbina talpacoti	Granivorous	True	1100	1100	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	True	Urban area	c__Aves	Ruddy ground dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina talpacoti	s__Columbina_talpacoti	Ct1	sk__Eukaryota	504887	10.461667	10.461667	adult	66.839444	66.839444	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Crop	gut metagenome	female	Garcia_bird_gutmicrobiome
1773.Columb.talpa1.gizz	0	0.0	COP45	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2008-02-04	GAZ:Venezuela	0	0	Gizzard Columbina talpacoti	Granivorous	True	1100	1100	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	True	Urban area	c__Aves	Ruddy ground dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina talpacoti	s__Columbina_talpacoti	Ct1	sk__Eukaryota	504887	10.461667	10.461667	adult	66.839444	66.839444	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome	female	Garcia_bird_gutmicrobiome
1773.Columb.talpa1.lgi	0	0.0	COP47	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2008-02-04	GAZ:Venezuela	0	0	Lower intestine Columbina talpacoti	Granivorous	True	1100	1100	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	True	Urban area	c__Aves	Ruddy ground dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina talpacoti	s__Columbina_talpacoti	Ct1	sk__Eukaryota	504887	10.461667	10.461667	adult	66.839444	66.839444	ANL	True	True	Host-associated	Animal	Animal distal gut	1773	gut metagenome	749906	Lower intestine	gut metagenome	female	Garcia_bird_gutmicrobiome
1773.Columb.talpa1.ugi	0	0.0	COP46	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2008-02-04	GAZ:Venezuela	0	0	Upper intestine Columbina talpacoti	Granivorous	True	1100	1100	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	True	Urban area	c__Aves	Ruddy ground dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina talpacoti	s__Columbina_talpacoti	Ct1	sk__Eukaryota	504887	10.461667	10.461667	adult	66.839444	66.839444	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome	female	Garcia_bird_gutmicrobiome
1773.Columb.talpa2.crop	0	0.0	COP48	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:crop	2008-02-04	GAZ:Venezuela	0	0	Crop Columbina talpacoti	Granivorous	True	1100	1100	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	True	Urban area	c__Aves	Ruddy ground dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina talpacoti	s__Columbina_talpacoti	Ct2	sk__Eukaryota	504887	10.461667	10.461667	adult	66.839444	66.839444	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Crop	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.talpa2.gizz	0	0.0	COP50	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2008-02-04	GAZ:Venezuela	0	0	Gizzard Columbina talpacoti	Granivorous	True	1100	1100	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	True	Urban area	c__Aves	Ruddy ground dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina talpacoti	s__Columbina_talpacoti	Ct2	sk__Eukaryota	504887	10.461667	10.461667	adult	66.839444	66.839444	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.talpa2.lgi	0	0.0	COP52	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2008-02-04	GAZ:Venezuela	0	0	Lower intestine Columbina talpacoti	Granivorous	True	1100	1100	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	True	Urban area	c__Aves	Ruddy ground dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina talpacoti	s__Columbina_talpacoti	Ct2	sk__Eukaryota	504887	10.461667	10.461667	adult	66.839444	66.839444	ANL	True	True	Host-associated	Animal	Animal distal gut	1773	gut metagenome	749906	Lower intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.talpa2.ugi	0	0.0	COP51	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2008-02-04	GAZ:Venezuela	0	0	Upper intestine Columbina talpacoti	Granivorous	True	1100	1100	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	True	Urban area	c__Aves	Ruddy ground dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina talpacoti	s__Columbina_talpacoti	Ct2	sk__Eukaryota	504887	10.461667	10.461667	adult	66.839444	66.839444	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.talpa3.crop	0	0.0	COP53	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:crop	2008-02-04	GAZ:Venezuela	0	0	Crop Columbina talpacoti	Granivorous	True	1100	1100	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	True	Urban area	c__Aves	Ruddy ground dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina talpacoti	s__Columbina_talpacoti	Ct3	sk__Eukaryota	504887	10.461667	10.461667	adult	66.839444	66.839444	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Crop	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.talpa3.gizz	0	0.0	COP55	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2008-02-04	GAZ:Venezuela	0	0	Gizzard Columbina talpacoti	Granivorous	True	1100	1100	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	True	Urban area	c__Aves	Ruddy ground dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina talpacoti	s__Columbina_talpacoti	Ct3	sk__Eukaryota	504887	10.461667	10.461667	adult	66.839444	66.839444	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.talpa3.lgi	0	0.0	COP57	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2008-02-04	GAZ:Venezuela	0	0	Lower intestine Columbina talpacoti	Granivorous	True	1100	1100	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	True	Urban area	c__Aves	Ruddy ground dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina talpacoti	s__Columbina_talpacoti	Ct3	sk__Eukaryota	504887	10.461667	10.461667	adult	66.839444	66.839444	ANL	True	True	Host-associated	Animal	Animal distal gut	1773	gut metagenome	749906	Lower intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.talpa3.ugi	0	0.0	COP56	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2008-02-04	GAZ:Venezuela	0	0	Upper intestine Columbina talpacoti	Granivorous	True	1100	1100	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	True	Urban area	c__Aves	Ruddy ground dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina talpacoti	s__Columbina_talpacoti	Ct3	sk__Eukaryota	504887	10.461667	10.461667	adult	66.839444	66.839444	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.talpa4.crop	0	0.0	COP58	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:crop	2008-02-04	GAZ:Venezuela	0	0	Crop Columbina talpacoti	Granivorous	True	1100	1100	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	True	Urban area	c__Aves	Ruddy ground dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina talpacoti	s__Columbina_talpacoti	Ct4	sk__Eukaryota	504887	10.461667	10.461667	adult	66.839444	66.839444	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Crop	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.talpa4.gizz	0	0.0	COP60	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2008-02-04	GAZ:Venezuela	0	0	Gizzard Columbina talpacoti	Granivorous	True	1100	1100	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	True	Urban area	c__Aves	Ruddy ground dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina talpacoti	s__Columbina_talpacoti	Ct4	sk__Eukaryota	504887	10.461667	10.461667	adult	66.839444	66.839444	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.talpa4.lgi	0	0.0	COP62	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2008-02-04	GAZ:Venezuela	0	0	Lower intestine Columbina talpacoti	Granivorous	True	1100	1100	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	True	Urban area	c__Aves	Ruddy ground dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina talpacoti	s__Columbina_talpacoti	Ct4	sk__Eukaryota	504887	10.461667	10.461667	adult	66.839444	66.839444	ANL	True	True	Host-associated	Animal	Animal distal gut	1773	gut metagenome	749906	Lower intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.talpa4.ugi	0	0.0	COP61	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2008-02-04	GAZ:Venezuela	0	0	Upper intestine Columbina talpacoti	Granivorous	True	1100	1100	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	True	Urban area	c__Aves	Ruddy ground dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina talpacoti	s__Columbina_talpacoti	Ct4	sk__Eukaryota	504887	10.461667	10.461667	adult	66.839444	66.839444	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
